PID,Text,Media,MediaURL,Emotion,HateSpeech
P:1577853225889308672,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
P:1577853206981476353,RT @gabogonzy: @gabrother5 @carmen_mmxm @celis_wilke @josexebex @Cabazorra @quelacion @Jesusralleuc @Pato_Gal @Jucardicre @ManuelVegaCln @m…,NA,,,
P:1577853055097180160,@sj_fina @MilitaryStart4 @gnarlyballs @toddhassinger11 @THUNDERBOOM111 @NoVaseline4you @LLDMim @LIGHTNINGBOOM1 @nutcontroversy @GODISBACK5 @SPICYMOOSEBALLS @GIANTMOOSEBALLS @chubbs172 @GeishaJin @SmomMan @Espo11Michael @realDonaldTrump @VP @GenFlynn @FBI @CIA @NSAGov @USArmy @usairforce @USMC @USNavy @StateDept @FCC @FLOTUS @JamesGunn @SecretService @SecPompeo @laura_dilley @parscale @thorofficial @AirMobilityCmd @RobLowe @EsperDoD @prattprattpratt @MarkRuffalo @KidRock @DonaldJTrumpJr PROTECT MY DAUGHTERS &amp; I from all harm from these psychopath war criminal delusional pathological liar deceitful strangers/spying/terrorizing our lives war criminals #scottdavidhelton #alisonwu &amp; proxy/they fail all involved w/them &amp; last/this adm w/lies/threats against consent! https://t.co/Rz0YuVFHFd,https://t.co/Rz0YuVFHFd,,,
P:1577852931683979269,"@sj_fina @MilitaryStart4 @gnarlyballs @toddhassinger11 @THUNDERBOOM111 @NoVaseline4you @LLDMim @LIGHTNINGBOOM1 @nutcontroversy @GODISBACK5 @SPICYMOOSEBALLS @GIANTMOOSEBALLS @chubbs172 @GeishaJin @SmomMan @Espo11Michael @realDonaldTrump @VP @GenFlynn @FBI @CIA @NSAGov @USArmy @usairforce @USMC @USNavy @StateDept @FCC @FLOTUS @JamesGunn @SecretService @SecPompeo @laura_dilley @parscale @thorofficial @AirMobilityCmd @RobLowe @EsperDoD @prattprattpratt @MarkRuffalo @KidRock @DonaldJTrumpJr Prison crimes #alisonwu/scott/proxy committed to be prosecuted for punishment:
• Conspiracy to commit labor &amp; human trafficking
• Conspiracy to commit felony stalking 5 YRS daily
• Obstruction of justice
• Conspiracy to false portray as military soldier
• Felony stalking https://t.co/Tq1xZHIihP",https://t.co/Tq1xZHIihP,,,
P:1577852889325834240,"RT @AKA_RealDirty: Federal judge upholds Georgia election integrity practices, deals blow to Stacey Abrams | Just The News

They need to fi…",NA,,,
P:1577852880346058752,"RT @PardonRoss: Pushing to get to 497,000 now… wow. We REALLY ARE close now people!!!! #FreeRoss

https://t.co/dlbHi081vC",https://t.co/dlbHi081vC,,,
P:1577852815174770688,RT @USAMarineMomma: I don't like Biden's America! I want @realDonaldTrump BACK in Office! https://t.co/PXSNHm7vNX,https://t.co/PXSNHm7vNX,,,
P:1577852738054012928,"RT @simply_sonja_: TIME TO BRING BACK @realDonaldTrump 🇺🇸
ON TWITTER
@elonmusk https://t.co/d2ednGHtbJ",https://t.co/d2ednGHtbJ,,,
P:1577852285866082304,@RepGosar @MIKEtheFIRECAPT @realDonaldTrump You’re rooting for Russia to win.,NA,,,
P:1577852163656556545,"@SeraFinArt4 @SeraFinArt2022 @sjfina1 @DONKEYKONGNUT @Thundeer20 @Bigfoothairyst1 @ohdeer77 @BANANADEER4 @chubbs172 @GODISBACK5 @gnarlyballs @nutcontroversy @realDonaldTrump @GenFlynn @FBI @CIA @NSAGov @USArmy @usairforce @USMC @USNavy @StateDept @FBINewYork @FBIPhoenix @FBILouisville @amnesty @DHSgov @amnestyusa @amnestypress @FLOTUS @FBIWFO @FBIAlbuquerque @FBIAtlanta @FBIPittsburgh @FBIBoston @FBIAlbany @FBIBaltimore @FBIBirmingham @FBIBuffalo @FBICincinnati @FBIColumbia @FBIDenver @FBIDallas @FBIDetroit @FBILosAngeles @TheJusticeDept @UCLA @MilitaryStart4 @lightersup9 PROTECT MY DAUGHTERS &amp; I from all harm exploitation &amp; violations! KEEP US SAFE from all harm!
Check on MY DAUGHTERS TONIGHT TOMORROW",NA,,,
