POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584054329472057346,,,"RT @TOICitiesNews: Stubble burning remains a 'significant contributor' to Delhi's unbreathable air in October, November: CREA study https:/…",Caption,,,,,,,
P:1584054325885960192,,,"RT @ETimesTV: The party was attended by not just the who's who of Bollywood but also the television industry

#ShehnaazGiIl #RupaliGanguly…",Caption,,,,,,,
P:1584054311528501250,,,RT @Narende01589313: @dichicorp @mlkhattar @DC_Gurugram @MCManesar @dtcphry @kMakrandIAS @diprogurugram1 @DiprHaryana @cmohry @nishantyadav…,Caption,,,,,,,
P:1584054310929043456,,,RT @TOICitiesNews: Maharashtra: Thane history-sheeter dies hours after being shot at https://t.co/aKsIZD8wUv,Caption,,,,,,,
P:1584054286149128198,,,RT @TOICitiesNews: Punjab: AK-56 rifle recovered on disclosure of RPG attack accused https://t.co/qVQpm55Qtc,Caption,,,,,,,
P:1584054263319121920,,,RT @dichicorp: @mlkhattar @DC_Gurugram @MCManesar @dtcphry @kMakrandIAS @diprogurugram1 @DiprHaryana @cmohry @DiprHaryana @nishantyadavIAS…,Caption,,,,,,,
P:1584054220876939264,,,"@singhesha10 @ChandNawabMisir @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI Congratulations champion, keep winning and make India proud",Caption,,,,,,,
P:1584054220876939264,,,"@singhesha10 @ChandNawabMisir @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI Congratulations champion, keep winning and make India proud",Additional Comment,NA,,,,,,
P:1584054220876939264,,,@singhesha10 @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI Amazing and brilliant - Congratulations - Pride of India,Additional Comment,NA,,,,,,
P:1584054220876939264,,,@singhesha10 @PMOIndia @ianuragthakur @KirenRijiju @timesofindia @KTRTRS @TelanganaCMO @jayesh_ranjan @suldeep @Media_SAI @DGSAI Congratulations,Additional Comment,NA,,,,,,
