POST_ID,POST_LINK,IMAGES_ID,Text,Text Type,MEDIA_URL,Text OCR,Language of Text,Hate Speech,Profane,Sentiment,Targeted Insult
P:1584601133691060225,,,"NatGeoTravel: Observed by more than a billion people across faiths, this five-day festival of lights brings prayer, feasts, fireworks and, for some, a new year.  https://t.co/PTIGeOxYC7",Caption,https://t.co/PTIGeOxYC7,,,,,,
P:1584600004777644032,,,"RT @NatGeoTravel: Fall colors dominate a view of the North Rim in early morning sunlight in Grand Canyon National Park, Arizona, USA. https…",Caption,https…,,,,,,
P:1584599021699878913,,,"RT NatGeoTravel: Observed by more than a billion people across faiths, this five-day festival of lights brings prayer, feasts, fireworks and, for some, a new year.  https://t.co/1kDRSWuU3s",Caption,https://t.co/1kDRSWuU3s,,,,,,
P:1584598986438152204,,,"RT NatGeoTravel ""Observed by more than a billion people across faiths, this five-day festival of lights brings prayer, feasts, fireworks and, for some, a new year.  https://t.co/aZesVWhU3X""",Caption,"https://t.co/aZesVWhU3X""",,,,,,
P:1584598754073550848,,,"RT @NatGeoTravel: Fall colors dominate a view of the North Rim in early morning sunlight in Grand Canyon National Park, Arizona, USA. https…",Caption,https…,,,,,,
P:1584597462987087872,,,"NatGeoTravel: Observed by more than a billion people across faiths, this five-day festival of lights brings prayer, feasts, fireworks and, for some, a new year.  https://t.co/tCAxhQybFk https://t.co/vxxS12HhZ3 #travel #polakidis",Caption,https://t.co/vxxS12HhZ3 #travel #polakidis,,,,,,
P:1584596148110905346,,,"RT @PassejantM: Passejant pel món. 
Colors del viatge.  #travel #travelphoto #travelphotography @NatGeoTravel @TravelMagazine https://t.co/…",Caption,https://t.co/…,,,,,,
P:1584594590061199360,,,"RT @NatGeoTravel: Fall colors dominate a view of the North Rim in early morning sunlight in Grand Canyon National Park, Arizona, USA. https…",Caption,https…,,,,,,
P:1584594369541201920,,,"RT NatGeoTravel ""Observed by more than a billion people across faiths, this five-day festival of lights brings prayer, feasts, fireworks and, for some, a new year.  https://t.co/sCy9McAVBk""",Caption,"https://t.co/sCy9McAVBk""",,,,,,
P:1584594034844368897,,,"RT @NatGeoTravel: Fall colors dominate a view of the North Rim in early morning sunlight in Grand Canyon National Park, Arizona, USA. https…",Caption,https…,,,,,,
P:1584592754809589760,,,RT @diecastryan: A Lufthansa A380 departing LAX a few years back. #lufthansa #lax #LosAngeles #airbus #airbuslovers #a380 #aviation #airpla…,Caption,NA,,,,,,
P:1584591390398648322,,,RT @diecastryan: A Lufthansa A380 departing LAX a few years back. #lufthansa #lax #LosAngeles #airbus #airbuslovers #a380 #aviation #airpla…,Caption,NA,,,,,,
P:1584591324069892097,,,RT @NatGeoTravel: The Polynesian Voyaging Society sails on the high seas unaided by modern navigation technologies. The sun and the stars a…,Caption,NA,,,,,,
P:1584588819717767168,,,"RT @NatGeoTravel: Fall colors dominate a view of the North Rim in early morning sunlight in Grand Canyon National Park, Arizona, USA. https…",Caption,https…,,,,,,
P:1584584318571008006,,,#viajesbumerannapoles #conoceelmundo https://t.co/kf8k2Y6EPL,Caption,https://t.co/kf8k2Y6EPL,,,,,,
P:1584581385972772864,,,"#Vietnam Dairies #Lovely place #sweetpeople #Halongbay #Simply beautiful #natgeotravel @ Đảo Ti Tốp, Hạ Long https://t.co/xHmTmFGCY2",Caption,https://t.co/xHmTmFGCY2,,,,,,
P:1584576485515411458,,,RT @NatGeoTravel: The Polynesian Voyaging Society sails on the high seas unaided by modern navigation technologies. The sun and the stars a…,Caption,NA,,,,,,
P:1584572450138099712,,,"RT @kalushanska: #dolphins killed by #russians
they destroy #everything 🤦‍♀️
@Greenpeace @Nature @NatureMedicine @NatGeoTravel @peta #sea #…",Caption,NA,,,,,,
P:1584570022390734848,,,@NatGeoTravel Aspens in Fall Gold 💕☺️,Caption,NA,,,,,,
P:1584570022390734848,,,@NatGeoTravel Beautiful!,Additional Comment,NA,,,,,,
P:1584570022390734848,,,@NatGeoTravel Aspens in Fall Gold 💕☺️,Additional Comment,NA,,,,,,
P:1584570022390734848,,,@NatGeoTravel Wow!,Additional Comment,NA,,,,,,
P:1584570022390734848,,,"@NatGeoTravel 懐かしいです
旅行で2回程行きました。",Additional Comment,NA,,,,,,
P:1584570022390734848,,,@NatGeoTravel titanic.,Additional Comment,NA,,,,,,
P:1584570022390734848,,,@NatGeoTravel Flooding in Queensland Australia at sunset 🌅 https://t.co/soOt8VAlN1,Additional Comment,NA,,,,,,
